run_id,seed,controller,scenario,cycle_idx,t_obs,t_orient,t_dec,t_LG,L_dec_ms,L_LG_ms,L_tot_ms,route,proposed_action,executed_action,gt_action,lg_blocked,slm_raw_completion_ms,cpu_temp_C,rss_mb
0665b4ba-6054-4f8b-b78a-778c1dbed40b,42,Prefilter-only,connected,1,1783184334.427,1783184334.427,1783184334.4271,1783184334.4271,0.0,0.0129,0.1475,fallback,continue_operation,continue_operation,continue_operation,False,0.0,46.9,78.05
0665b4ba-6054-4f8b-b78a-778c1dbed40b,42,Prefilter-only,connected,2,1783184334.4275,1783184334.4275,1783184334.4275,1783184334.4275,0.0,0.0084,0.0318,prefilter,emergency_stop,emergency_stop,emergency_stop,False,0.0,46.9,78.05
0665b4ba-6054-4f8b-b78a-778c1dbed40b,42,Prefilter-only,connected,3,1783184334.4277,1783184334.4277,1783184334.4277,1783184334.4277,0.0,0.0055,0.0219,prefilter,emergency_stop,emergency_stop,emergency_stop,False,0.0,46.9,78.05
0665b4ba-6054-4f8b-b78a-778c1dbed40b,42,Prefilter-only,connected,4,1783184334.4278,1783184334.4279,1783184334.4279,1783184334.4279,0.0,0.0055,0.1004,fallback,continue_operation,continue_operation,continue_operation,False,0.0,46.9,78.05
0665b4ba-6054-4f8b-b78a-778c1dbed40b,42,Prefilter-only,connected,5,1783184334.4281,1783184334.4281,1783184334.4282,1783184334.4282,0.0,0.0056,0.0888,fallback,continue_operation,continue_operation,continue_operation,False,0.0,46.9,78.05
0665b4ba-6054-4f8b-b78a-778c1dbed40b,42,Prefilter-only,connected,6,1783184334.4283,1783184334.4283,1783184334.4283,1783184334.4283,0.0,0.0051,0.0204,prefilter,emergency_stop,emergency_stop,emergency_stop,False,0.0,46.9,78.05
0665b4ba-6054-4f8b-b78a-778c1dbed40b,42,Prefilter-only,connected,7,1783184334.4285,1783184334.4285,1783184334.4286,1783184334.4286,0.0,0.0052,0.1016,fallback,continue_operation,continue_operation,continue_operation,False,0.0,46.9,78.05
0665b4ba-6054-4f8b-b78a-778c1dbed40b,42,Prefilter-only,connected,8,1783184334.4287,1783184334.4288,1783184334.4288,1783184334.4288,0.0,0.005,0.0869,fallback,continue_operation,continue_operation,activate_cooling,False,0.0,46.9,78.05
0665b4ba-6054-4f8b-b78a-778c1dbed40b,42,Prefilter-only,connected,9,1783184334.429,1783184334.429,1783184334.429,1783184334.429,0.0,0.0049,0.0198,prefilter,emergency_stop,emergency_stop,emergency_stop,False,0.0,46.9,78.05
0665b4ba-6054-4f8b-b78a-778c1dbed40b,42,Prefilter-only,connected,10,1783184334.4291,1783184334.4291,1783184334.4292,1783184334.4292,0.0,0.0049,0.0852,fallback,continue_operation,continue_operation,continue_operation,False,0.0,46.9,78.05
0665b4ba-6054-4f8b-b78a-778c1dbed40b,42,Prefilter-only,connected,11,1783184334.4294,1783184334.4294,1783184334.4294,1783184334.4294,0.0,0.0047,0.019,prefilter,emergency_stop,emergency_stop,emergency_stop,False,0.0,46.9,78.05
0665b4ba-6054-4f8b-b78a-778c1dbed40b,42,Prefilter-only,connected,12,1783184334.4295,1783184334.4295,1783184334.4295,1783184334.4295,0.0,0.005,0.0212,prefilter,emergency_stop,emergency_stop,emergency_stop,False,0.0,46.9,78.05
0665b4ba-6054-4f8b-b78a-778c1dbed40b,42,Prefilter-only,connected,13,1783184334.4297,1783184334.4297,1783184334.4297,1783184334.4298,0.0,0.0047,0.0851,fallback,continue_operation,continue_operation,continue_operation,False,0.0,46.9,78.05
0665b4ba-6054-4f8b-b78a-778c1dbed40b,42,Prefilter-only,connected,14,1783184334.4299,1783184334.4299,1783184334.43,1783184334.43,0.0,0.0047,0.0846,fallback,continue_operation,continue_operation,continue_operation,False,0.0,46.9,78.05
0665b4ba-6054-4f8b-b78a-778c1dbed40b,42,Prefilter-only,connected,15,1783184334.4301,1783184334.4301,1783184334.4302,1783184334.4302,0.0,0.0046,0.0818,fallback,continue_operation,continue_operation,continue_operation,False,0.0,46.9,78.05
0665b4ba-6054-4f8b-b78a-778c1dbed40b,42,Prefilter-only,connected,16,1783184334.4303,1783184334.4304,1783184334.4304,1783184334.4304,0.0,0.0048,0.0189,prefilter,emergency_stop,emergency_stop,emergency_stop,False,0.0,46.9,78.05
0665b4ba-6054-4f8b-b78a-778c1dbed40b,42,Prefilter-only,connected,17,1783184334.4305,1783184334.4305,1783184334.4306,1783184334.4306,0.0,0.0044,0.0825,fallback,continue_operation,continue_operation,continue_operation,False,0.0,46.9,78.05
0665b4ba-6054-4f8b-b78a-778c1dbed40b,42,Prefilter-only,connected,18,1783184334.4307,1783184334.4307,1783184334.4307,1783184334.4307,0.0,0.0049,0.0206,prefilter,emergency_stop,emergency_stop,emergency_stop,False,0.0,46.9,78.05
0665b4ba-6054-4f8b-b78a-778c1dbed40b,42,Prefilter-only,connected,19,1783184334.4309,1783184334.4309,1783184334.4309,1783184334.4309,0.0,0.0049,0.0184,prefilter,emergency_stop,emergency_stop,emergency_stop,False,0.0,46.9,78.05
0665b4ba-6054-4f8b-b78a-778c1dbed40b,42,Prefilter-only,connected,20,1783184334.431,1783184334.431,1783184334.4311,1783184334.4311,0.0,0.0045,0.0828,fallback,continue_operation,continue_operation,activate_cooling,False,0.0,46.9,78.05
0665b4ba-6054-4f8b-b78a-778c1dbed40b,42,Prefilter-only,connected,21,1783184334.4312,1783184334.4312,1783184334.4312,1783184334.4312,0.0,0.0045,0.0211,prefilter,activate_cooling,activate_cooling,activate_cooling,False,0.0,46.9,78.05
0665b4ba-6054-4f8b-b78a-778c1dbed40b,42,Prefilter-only,connected,22,1783184334.4314,1783184334.4314,1783184334.4315,1783184334.4315,0.0,0.0046,0.0836,fallback,continue_operation,continue_operation,continue_operation,False,0.0,46.9,78.05
