seed,controller,scenario,p_crit,quant,L_dec_ms,L_LG_ms,L_tot_ms,route,executed_action,gt_action,lg_blocked
42,Pure-SLM,connected,0.15,Q2_K,1388.8618,0.0284,1389.0632,slm,continue_operation,continue_operation,False
42,Pure-SLM,connected,0.15,Q2_K,388.7077,0.0165,389.0527,slm,continue_operation,emergency_stop,False
42,Pure-SLM,connected,0.15,Q2_K,451.5521,0.0268,451.7829,slm,continue_operation,continue_operation,False
42,Pure-SLM,connected,0.15,Q2_K,329.7108,0.0276,330.088,slm,continue_operation,emergency_stop,False
42,Pure-SLM,connected,0.15,Q2_K,386.9907,0.0157,387.3268,slm,continue_operation,activate_cooling,False
42,Pure-SLM,connected,0.15,Q2_K,344.559,0.0266,344.7865,slm,continue_operation,continue_operation,False
42,Pure-SLM,connected,0.15,Q2_K,436.1893,0.016,436.5239,slm,continue_operation,activate_cooling,False
42,Pure-SLM,connected,0.15,Q2_K,428.0879,0.0162,428.2785,slm,continue_operation,activate_cooling,False
42,Pure-SLM,connected,0.15,Q2_K,337.0474,0.0271,337.2752,slm,continue_operation,continue_operation,False
42,Pure-SLM,connected,0.15,Q2_K,420.8309,0.0155,421.1612,slm,continue_operation,continue_operation,False
42,Pure-SLM,connected,0.15,Q2_K,331.5229,0.0154,331.7131,slm,continue_operation,continue_operation,False
42,Pure-SLM,connected,0.15,Q2_K,382.2018,0.0156,382.3888,slm,continue_operation,continue_operation,False
42,Pure-SLM,connected,0.15,Q2_K,373.1713,0.0153,373.3622,slm,continue_operation,activate_cooling,False
42,Pure-SLM,connected,0.15,Q2_K,374.6595,0.0156,374.8496,slm,continue_operation,continue_operation,False
42,Pure-SLM,connected,0.15,Q2_K,423.5803,0.0272,423.8102,slm,continue_operation,activate_cooling,False
42,Pure-SLM,connected,0.15,Q2_K,283.8094,0.026,284.179,slm,continue_operation,activate_cooling,False
42,Pure-SLM,connected,0.15,Q2_K,434.4933,0.0154,434.8194,slm,continue_operation,continue_operation,False
42,Pure-SLM,connected,0.15,Q2_K,397.8523,0.0159,398.0418,slm,continue_operation,emergency_stop,False
42,Pure-SLM,connected,0.15,Q2_K,1549.3844,0.0026,387.5582,slm,emergency_stop,emergency_stop,True
42,Pure-SLM,connected,0.15,Q2_K,374.9362,0.0271,375.1612,slm,continue_operation,activate_cooling,False
