seed,controller,scenario,p_crit,quant,L_dec_ms,L_LG_ms,L_tot_ms,route,executed_action,gt_action,lg_blocked
42,Hybrid,connected,0.01,Q4_K_M,2274.8842,0.0182,2275.0506,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,730.6119,0.0292,730.858,slm,continue_operation,emergency_stop,False
42,Hybrid,connected,0.01,Q4_K_M,747.4382,0.0286,747.8315,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,708.1098,0.0289,708.4946,slm,continue_operation,emergency_stop,False
42,Hybrid,connected,0.01,Q4_K_M,684.1226,0.0284,684.5227,slm,continue_operation,activate_cooling,False
42,Hybrid,connected,0.01,Q4_K_M,611.2396,0.0171,611.5879,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,693.0982,0.0296,693.3368,slm,continue_operation,activate_cooling,False
42,Hybrid,connected,0.01,Q4_K_M,823.969,0.0165,824.3138,slm,continue_operation,activate_cooling,False
42,Hybrid,connected,0.01,Q4_K_M,750.8214,0.0175,751.0272,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,595.8456,0.017,596.0513,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,636.02,0.0289,636.2621,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,688.0444,0.0307,688.4282,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,673.8865,0.0171,674.227,slm,continue_operation,activate_cooling,False
42,Hybrid,connected,0.01,Q4_K_M,641.1649,0.0281,641.4014,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,661.4217,0.0175,661.7843,slm,continue_operation,activate_cooling,False
42,Hybrid,connected,0.01,Q4_K_M,627.7263,0.0164,627.9405,slm,continue_operation,activate_cooling,False
42,Hybrid,connected,0.01,Q4_K_M,635.114,0.0175,635.3144,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,678.6353,0.0173,678.8424,slm,continue_operation,emergency_stop,False
42,Hybrid,connected,0.01,Q4_K_M,651.8215,0.0173,652.0314,slm,continue_operation,activate_cooling,False
42,Hybrid,connected,0.01,Q4_K_M,722.3481,0.0178,722.5515,slm,continue_operation,activate_cooling,False
42,Hybrid,connected,0.01,Q4_K_M,706.8354,0.0181,707.0434,slm,continue_operation,activate_cooling,False
42,Hybrid,connected,0.01,Q4_K_M,684.0172,0.0281,684.2753,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,636.8398,0.0169,637.1871,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,613.799,0.0171,614.0069,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,653.8035,0.0171,654.004,slm,continue_operation,emergency_stop,False
42,Hybrid,connected,0.01,Q4_K_M,699.5247,0.0288,699.7696,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,618.0146,0.0185,618.3627,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,686.0841,0.0173,686.2949,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,602.6279,0.0175,602.8341,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,719.0199,0.0174,719.2299,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,638.1725,0.0175,638.3791,slm,continue_operation,activate_cooling,False
42,Hybrid,connected,0.01,Q4_K_M,713.938,0.0173,714.1453,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,756.1641,0.0175,756.3726,slm,continue_operation,activate_cooling,False
42,Hybrid,connected,0.01,Q4_K_M,640.4552,0.0169,640.6594,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,621.5198,0.0288,621.7621,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,669.3554,0.028,669.7378,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,634.2816,0.0167,634.6238,slm,continue_operation,activate_cooling,False
42,Hybrid,connected,0.01,Q4_K_M,610.6876,0.0167,610.8969,slm,continue_operation,activate_cooling,False
42,Hybrid,connected,0.01,Q4_K_M,696.2799,0.0284,696.5268,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,655.5093,0.0172,655.8662,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,699.3488,0.0284,699.5913,slm,continue_operation,activate_cooling,False
42,Hybrid,connected,0.01,Q4_K_M,654.1056,0.0284,654.4864,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,648.8853,0.0165,649.232,slm,continue_operation,activate_cooling,False
42,Hybrid,connected,0.01,Q4_K_M,744.3282,0.0284,744.5673,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,683.8151,0.0276,684.1939,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,655.578,0.017,655.9192,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,761.8258,0.0291,762.0684,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,781.1921,0.0175,781.5368,slm,continue_operation,activate_cooling,False
42,Hybrid,connected,0.01,Q4_K_M,790.201,0.0284,790.4448,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,674.2843,0.0167,674.6381,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,743.0413,0.0281,743.2823,slm,continue_operation,activate_cooling,False
42,Hybrid,connected,0.01,Q4_K_M,724.5479,0.029,724.9721,slm,continue_operation,continue_operation,False
42,Hybrid,connected,0.01,Q4_K_M,650.8589,0.0283,651.2508,slm,continue_operation,activate_cooling,False
42,Hybrid,connected,0.01,Q4_K_M,705.0486,0.03,705.4426,slm,continue_operation,emergency_stop,False
