seed,controller,p_crit,quant,L_dec_ms,L_LG_ms,slm_raw_completion_ms,L_tot_ms,route,executed_action,lg_blocked
42,Hybrid,0.15,Q4_K_M,2122.0786,0.0439,2121.8318,2122.3326,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0168,0.0,0.0891,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0106,0.0,0.0439,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,733.8525,0.0162,733.7131,734.2109,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,658.0802,0.0177,657.9403,658.291,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0045,0.0,0.0351,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,785.0329,0.0292,784.8237,785.2663,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,687.2211,0.0297,686.5788,687.6285,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0099,0.0,0.0678,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,704.4674,0.0271,703.8509,704.8438,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0099,0.0,0.0659,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0091,0.0,0.0436,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,630.6175,0.0169,630.2761,630.9512,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,654.5297,0.0159,654.1444,654.7422,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,714.9337,0.0176,714.4639,715.1603,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0039,0.0,0.0341,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,787.0874,0.0173,786.6024,787.2891,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0043,0.0,0.0385,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0039,0.0,0.0159,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,753.4903,0.0158,753.0237,753.6805,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0041,0.0,0.0404,prefilter,activate_cooling,False
42,Hybrid,0.15,Q4_K_M,652.4869,0.0172,652.0021,652.6799,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0042,0.0,0.0358,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,711.1658,0.0162,710.6555,711.3767,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,0.0,0.004,0.0,0.0379,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0034,0.0,0.0196,prefilter,activate_cooling,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0033,0.0,0.0129,prefilter,continue_operation,False
42,Hybrid,0.15,Q4_K_M,701.9792,0.016,701.5052,702.1678,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0041,0.0,0.0357,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0029,0.0,0.0165,prefilter,activate_cooling,False
42,Hybrid,0.15,Q4_K_M,666.3851,0.0171,665.8907,666.576,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0036,0.0,0.034,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0026,0.0,0.0131,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0026,0.0,0.0119,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,780.5259,0.0276,779.5682,780.7529,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0113,0.0,0.0687,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,738.8068,0.0183,738.3111,739.1486,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,729.1454,0.0165,728.6729,729.3634,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0042,0.0,0.034,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,684.8183,0.0167,684.3485,685.0245,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,671.9663,0.0163,671.4655,672.176,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,673.7054,0.0157,673.576,673.9088,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,655.7082,0.0163,655.5549,655.9094,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0039,0.0,0.0333,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0037,0.0,0.0179,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0033,0.0,0.0161,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0025,0.0,0.0125,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0025,0.0,0.0108,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,669.6149,0.0184,669.276,669.8029,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0038,0.0,0.0349,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0028,0.0,0.0137,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0025,0.0,0.0113,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0031,0.0,0.0148,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,780.8243,0.0166,780.4199,781.015,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,0.0,0.004,0.0,0.0351,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,731.9539,0.0264,731.3198,732.1953,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,717.2014,0.0271,716.3362,717.5924,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0106,0.0,0.0699,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0076,0.0,0.0355,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0069,0.0,0.034,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,705.9788,0.0285,705.7805,706.3521,slm,continue_operation,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0099,0.0,0.0673,prefilter,emergency_stop,False
42,Hybrid,0.15,Q4_K_M,0.0,0.0073,0.0,0.0351,prefilter,emergency_stop,False
